event_id,round_preferred,n_picks_preferred,catalog_x_km_preferred,catalog_y_km_preferred,catalog_z_km_preferred,relocated_x_km_preferred,relocated_y_km_preferred,relocated_z_km_preferred,relocated_lat_preferred,relocated_lon_preferred,origin_time_shift_s_preferred,rms_before_s_preferred,rms_after_s_preferred,horizontal_shift_km_preferred,vertical_shift_km_preferred,total_shift_km_preferred,round_1d,n_picks_1d,catalog_x_km_1d,catalog_y_km_1d,catalog_z_km_1d,relocated_x_km_1d,relocated_y_km_1d,relocated_z_km_1d,relocated_lat_1d,relocated_lon_1d,origin_time_shift_s_1d,rms_before_s_1d,rms_after_s_1d,horizontal_shift_km_1d,vertical_shift_km_1d,total_shift_km_1d,run_horizontal_difference_km,run_vertical_difference_km,run_total_difference_km
SGC2025kgeyrg,2,8,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,0.1284391454466149,0.281463661833166,0.281463661833166,0.0,0.0,0.0,2,8,-56.31574630737305,-46.20719909667969,130.0,-66.31575012207031,-46.20719909667969,140.0,6.584915566864178,-73.60019556082159,-0.8808422023590641,0.4152078932111697,0.2881126409070293,10.000003814697266,10.0,14.142138321129512,10.000003814697266,10.0,14.142138321129513
SGC2023woxqbz,2,5,-56.31574630737305,-56.20719909667969,110.0,-56.31574630737305,-66.20719909667969,110.0,6.405253331865975,-73.5096897927841,-0.562196569332631,0.2188092520405848,0.1565285263389125,10.0,0.0,10.0,2,5,-56.31574630737305,-76.20719909667969,110.0,-56.31574630737305,-76.20719909667969,120.0,6.315422214366873,-73.5096897927841,-0.6615479989301036,0.2856702784350854,0.253648865702001,0.0,10.0,10.0,10.0,10.0,14.142135623730951
SGC2026evkhtz,2,6,-46.31574630737305,13.792799949645996,110.0,-46.31574630737305,13.792799949645996,100.0,7.123902263291825,-73.41918405927181,0.8564752769388502,0.1784584616470856,0.1529389761885301,0.0,-10.0,10.0,2,6,-46.31574630737305,13.792799949645996,110.0,-46.31574630737305,13.792799949645996,100.0,7.123902263291825,-73.41918405927181,0.883621998324017,0.152363153434936,0.0861738346479029,0.0,-10.0,10.0,0.0,0.0,0.0
SGC2025cphhdg,2,7,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.2023041333433077,0.2428618137101351,0.2428618137101351,0.0,0.0,0.0,2,7,-56.31574630737305,-36.20719909667969,130.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,1.0313296234953775,0.2140708941427888,0.1696622823421765,0.0,-10.0,10.0,0.0,0.0,0.0
SGC2023ysbwiu,2,6,-96.31575012207033,-66.20719909667969,100.0,-96.31575012207033,-76.20719909667969,110.0,6.315422214366873,-73.87171276135847,-1.0014855182019495,0.2320983161430783,0.2287222781729334,10.0,10.0,14.142135623730953,2,6,-96.31575012207033,-76.20719909667969,100.0,-96.31575012207033,-76.20719909667969,110.0,6.315422214366873,-73.87171276135847,-0.7352371056212537,0.3886156372330384,0.3768640627866285,0.0,10.0,10.0,0.0,0.0,0.0
SGC2026dkghty,2,7,-56.31574630737305,-46.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-0.6534812799736898,0.2445477141219096,0.2310853626594686,14.142138321129512,10.0,17.320510278105544,2,7,-66.31575012207031,-36.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-0.7327352701686536,0.3435509700533064,0.2985760123946264,0.0,10.0,10.0,0.0,0.0,0.0
SGC2024fkcjjw,2,5,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0557601153867964,0.2303017195574882,0.1059403502923132,10.000003814697266,10.0,14.142138321129512,2,5,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.0222382116827084,0.0861863391878346,0.0861863391878346,0.0,0.0,0.0,10.000003814697266,10.0,14.142138321129513
SGC2026dtybze,2,7,-66.31575012207031,-66.20719909667969,130.0,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,0.1322127901728009,0.1057042872568387,0.1057042872568387,0.0,0.0,0.0,2,7,-66.31575012207031,-76.20719909667969,130.0,-66.31575012207031,-76.20719909667969,140.0,6.315422214366873,-73.60019556082159,-0.8740254846655056,0.2362957097942762,0.2289534429674954,0.0,10.0,10.0,10.0,10.0,14.142135623730951
SGC2024oxinjn,2,4,-66.31575012207031,-46.20719909667969,100.0,-66.31575012207031,-36.20719909667969,110.0,6.67474668436328,-73.60019556082159,-1.0577409233532524,0.1937509690770726,0.1827349344345596,10.0,10.0,14.142135623730953,2,4,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-46.20719909667969,120.0,6.584915566864178,-73.60019556082159,-0.7712314777421323,0.2173886456516555,0.1087458840034097,10.0,10.0,14.142135623730953,10.0,10.0,14.142135623730951
SGC2023vrvoqa,2,6,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-0.8955636323467271,0.1783920549436358,0.1682749438124798,0.0,10.0,10.0,2,6,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-0.8024664946245039,0.2932449176731695,0.2440086542533806,0.0,10.0,10.0,0.0,0.0,0.0
SGC2025vmsmyu,2,5,-66.31575012207031,-56.20719909667969,110.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-1.168312041930449,0.2971413058741022,0.134159196144578,10.0,10.0,14.142135623730953,2,5,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.60019556082159,1.391665020342348,0.1961605940121575,0.1313985566522624,10.0,-10.0,14.142135623730953,14.142135623730951,20.0,24.49489742783178
