event_id,n_picks,depth_km,azimuthal_gap_deg,min_local_rms_s,candidate_nodes,accepted_nodes_delta_0p20s,accepted_nodes_delta_0p10s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,horizontal_uncertainty_0p10_km,depth_uncertainty_0p10_km,origin_time_uncertainty_0p10_s
SGC2025kgeyrg,8,130.0,177.74899999999997,0.28328401470721776,125,15,8,14.142138321129513,40.0,1.3095558910125829,14.142138321129513,20.0,0.8868402628854829
SGC2023woxqbz,5,110.0,236.57100000000003,0.1224195468399115,100,10,4,22.360681480982638,40.0,0.7332658241252905,0.0,30.0,0.7225500294833129
SGC2026evkhtz,6,100.0,133.28700000000003,0.1508237051183134,125,5,5,0.0,40.0,1.170179782179151,0.0,40.0,1.170179782179151
SGC2025cphhdg,7,120.0,190.00900000000001,0.22401308631582795,125,11,6,20.0,40.0,1.5110868724537925,10.0,40.0,1.3319460538601968
SGC2023ysbwiu,6,110.0,240.42999999999998,0.19824246039623417,75,6,4,10.0,30.0,0.687090815318161,10.0,10.0,0.40435874316905535
SGC2026dkghty,7,140.0,159.08500000000004,0.20541386174418136,125,14,8,22.360681480982638,40.0,1.2421122848759345,14.142138321129513,40.0,1.2749288233683285
SGC2024fkcjjw,5,130.0,207.21000000000004,0.11977818756179656,125,15,5,22.360681480982638,40.0,1.7151562655230876,10.000003814697266,30.0,1.413038703022265
SGC2026dtybze,7,130.0,212.43,0.11448462413616649,100,9,3,14.142135623730951,40.0,1.1261482275038606,0.0,20.0,0.7328464053655128
SGC2024oxinjn,4,110.0,159.08500000000004,0.19345958288053247,125,9,6,10.0,40.0,1.142550346534877,10.0,30.0,0.8458539246211693
SGC2023vrvoqa,6,130.0,159.08500000000004,0.09879978020822419,125,5,4,0.0,40.0,1.2879995280428602,0.0,30.0,1.1004232577954551
SGC2025vmsmyu,5,120.0,274.568,0.1356093766950303,125,19,7,22.360679774997898,40.0,1.8986818714015739,22.360679774997898,30.0,1.535475043337715
SGC2023zkcyib,5,120.0,219.08499999999998,0.14382355393673146,125,14,8,22.360681480982638,30.0,0.9187675653926022,14.142138321129513,30.0,0.7324735141794778
SGC2022uzixqk,5,140.0,177.74899999999997,0.28312584139486574,125,19,5,14.142138321129513,40.0,1.437186105844915,10.000003814697266,30.0,0.9509818244084146
SGC2024wtvgin,4,120.0,217.733,0.1587104767653444,125,12,7,14.142138321129513,40.0,1.3525738593279122,14.142138321129513,40.0,1.4208686348243285
SGC2024gcqyzr,5,110.0,285.467,0.5815345492270443,100,34,14,22.360679774997898,40.0,1.7279159160334974,22.360679774997898,40.0,1.9724800963816558
SGC2025vdwwrs,7,90.0,242.13799999999998,0.23606136254144805,125,15,10,22.360679774997898,40.0,0.9377136655505398,22.360679774997898,40.0,0.6018070429241279
SGC2025lsvxjb,6,120.0,190.00900000000001,0.25276953735305213,125,10,7,10.0,40.0,1.3059555540618522,10.0,40.0,1.486494037236325
SGC2024zjklpi,6,120.0,217.733,0.17646552421061293,125,8,4,14.142138321129513,40.0,1.5074358168783843,10.0,30.0,0.9083984159717302
SGC2025jflrnd,6,110.0,164.502,0.177307308134936,125,11,5,20.0,40.0,1.4544810068282625,14.142136298080542,30.0,1.3066429143011942
SGC2024onitvr,7,120.0,159.08500000000004,0.2634843122502282,125,8,4,20.0,30.0,1.0737477227760481,10.0,20.0,0.7273432039218698
SGC2025ecjjfr,6,100.0,237.97799999999995,0.12493197197869464,125,12,6,22.360679774997898,30.0,1.2770423365015535,22.360679774997898,30.0,1.4220465876720765
SGC2025xxueyp,6,110.0,193.469,0.2431816833561196,125,12,6,20.0,30.0,1.1745540576828022,10.0,20.0,0.7322309647145393
