event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,relocated_x_km,relocated_y_km,relocated_z_km,relocated_lat,relocated_lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km
SGC2025kgeyrg,1,8,-56.00013505566074,-48.906586629560046,117.39,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,-1.4226118638835263,0.38413423000918545,0.29114146032155575,2.717775471755773,12.61,12.899550516001606
SGC2023woxqbz,1,5,-57.160282550467485,-67.53413337043997,118.85,-56.31574630737305,-56.20719909667969,110.0,6.495084449365076,-73.5096897927841,0.7125039014786658,0.2759917942374163,0.18218416706791582,11.35837495014078,-8.849999999999994,14.39913822101814
SGC2026evkhtz,1,6,-44.011944275982785,14.286066629559954,116.03,-46.31574630737305,13.792799949645996,110.0,7.123902263291825,-73.41918405927181,0.39896160509653456,0.20406474709652542,0.16767145488693658,2.3560169391053276,-6.030000000000001,6.473925842744204
SGC2025cphhdg,1,7,-52.85116328403955,-49.25909999999998,115.4,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,-0.6484739762812382,0.42387883700182377,0.2550095273471623,13.503905091330575,4.599999999999994,14.265884224809332
SGC2023ysbwiu,1,6,-96.16333642351819,-86.69972662955996,92.27,-96.31575012207031,-66.20719909667969,100.0,6.405253331865975,-73.87171276135847,-0.30062813276845546,0.5184652759735171,0.3543097579226213,20.493094315436174,7.730000000000004,21.902507039637324
SGC2026dkghty,1,7,-55.374024445857984,-47.88615337043999,118.25,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,-1.2044208927652242,0.29899168101887935,0.23163732711951757,1.9250266278245052,11.75,11.906646358980911
SGC2024fkcjjw,1,5,-58.46775109867699,-50.33519337044002,116.61,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,-0.17244797628124076,0.40592287691985834,0.22297165489112772,14.290953320936982,3.3900000000000006,14.687526913037463
SGC2026dtybze,1,7,-63.237245618507394,-72.85893999999996,118.66,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,-0.8056247459766013,0.36643245773195804,0.16092071731608953,7.3295870977403075,11.340000000000003,13.502534836961587
SGC2024oxinjn,1,4,-57.031378009868725,-49.35186662956,114.95,-66.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.60019556082159,1.2351956001342623,0.5217106489509393,0.13751818611253327,9.802474147386368,-14.950000000000003,17.87710825078201
SGC2023vrvoqa,1,6,-63.80811221441122,-48.98080000000004,113.29,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,-0.43415709518100165,0.783483177861257,0.35319559963237396,13.01741633017994,6.709999999999994,14.645041069018388
SGC2025vmsmyu,1,5,-70.45594187835496,-68.98129337043997,109.52,-66.31575012207031,-56.20719909667969,110.0,6.495084449365076,-73.60019556082159,0.12591455520999872,0.38549520366531903,0.23039531565660218,13.428278828417389,0.480000000000004,13.436855000100383
SGC2023zkcyib,1,5,-59.70155801528343,-46.865720000000024,113.59,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,-1.2205081400870128,0.1857112674547401,0.16547533600325284,3.4492565433050744,6.409999999999997,7.279111944566647
SGC2022uzixqk,1,5,-55.02413832515507,-47.49653337044001,119.26,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,-1.3182655120657003,0.3879652388931785,0.30402595185803294,1.8250024792372896,10.739999999999995,10.893954013544493
SGC2024wtvgin,1,4,-53.698255473946475,-50.11255337044004,118.66,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.18500162175220503,0.39191997244714644,0.06050971377459165,14.149563093673862,1.3400000000000034,14.212872184813929
SGC2024gcqyzr,1,5,-69.05639850044497,-63.13699337044004,110.87,-76.31575012207031,-66.20719909667969,110.0,6.405253331865975,-73.69070129433389,-0.8381985377089904,0.7237786239117917,0.5564956608137183,7.881900098823203,-0.8700000000000045,7.929769805475392
SGC2025vdwwrs,1,7,-65.48388118632272,86.05035999999996,98.26,-66.31575012207031,73.79280090332031,100.0,7.662888976853399,-73.60019556082159,-0.2904068326786202,0.36790505587837674,0.20801735160172902,12.285754390140465,1.7399999999999949,12.408358510893198
SGC2025lsvxjb,1,6,-52.022486502034965,-45.34434662956004,119.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,-0.021256008406101756,0.4363472258871504,0.25012101281900173,10.095521026363778,1.0,10.14492704723662
SGC2024zjklpi,1,6,-56.0922109902629,-51.87512000000002,116.87,-56.31574630737305,-46.20719909667969,130.0,6.584915566864178,-73.5096897927841,-1.340723160767613,0.5835896071453884,0.22222713420319862,5.67232715949028,13.129999999999995,14.30287367644317
SGC2025jflrnd,1,6,-91.78055773529212,31.429346629560044,99.0,-86.31575012207031,23.792800903320312,110.0,7.21373338935789,-73.78120702784618,-0.7103817221584352,0.9713672426006141,0.26237450995792605,9.390471387447882,11.0,14.46308932692035
SGC2024onitvr,1,7,-58.52299621747761,-50.31663999999999,114.47,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,-0.46473221276483656,0.42475871051730746,0.31696932645314835,16.118416051890236,5.530000000000001,17.04066418957409
SGC2025ecjjfr,1,6,-70.86107201295523,-67.53413337043997,111.67,-66.31575012207031,-56.20719909667969,110.0,6.495084449365076,-73.60019556082159,0.3753986260834328,0.31075065236472726,0.17808699343312126,12.204892098410504,-1.6700000000000017,12.318615633821974
SGC2025xxueyp,1,6,-70.78741259115709,-66.10552662956,110.86,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-0.8502620681147359,0.4454584601124024,0.24567970145582274,11.337521942818025,9.14,14.562932527615454
SGC2026eywwqq,1,6,-79.84761207441478,-57.44112,103.81,-76.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.69070129433389,0.23129111822660775,0.3047425990613141,0.14453101773921742,11.776036163008142,-3.8100000000000023,12.377040345432972
SGC2023vzpirs,1,8,-119.29262689786887,48.183006629559955,25.73,-116.31575012207031,33.79280090332031,40.0,7.303564506856992,-74.05272422838306,0.40524927829869206,0.7673806701616421,0.5456957682053238,14.694890818981577,14.27,20.48347422147398
SGC2024qrnhfe,1,7,-62.55588988990401,-76.42117999999996,119.05,-66.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.60019556082159,-0.9752075027817497,0.4011936580908414,0.14206677293037406,10.88402291704758,10.950000000000003,15.439056151812423
SGC2026exxida,1,5,-68.20930631053805,-67.64545337044001,109.95,-76.31575012207031,-66.20719909667969,120.0,6.405253331865975,-73.69070129433389,-1.2582858515234712,0.4982300474728461,0.26703877567533496,8.233043582146246,10.049999999999997,12.99174763553847
SGC2025tmwskm,1,7,-50.38354834592499,35.43686662956,107.41,-56.31574630737305,33.79280090332031,110.0,7.303564506856992,-73.5096897927841,-0.8207001515840417,0.6769608207266786,0.23852724008298595,6.15580415266799,2.5900000000000034,6.678474733500494
SGC2024ekhhas,1,5,-73.62332795297365,-67.33004662956002,109.12,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,-1.0900773437076516,0.4287694924749854,0.13982960640171688,11.444075951178634,10.879999999999995,15.790543827757961
SGC2023wbejxq,1,6,-74.0284591924772,-71.74573999999998,112.04,-66.31575012207031,-76.20719909667969,120.0,6.315422214366873,-73.60019556082159,-1.2480419834817216,0.6017752972410524,0.31260091366404075,8.91013459360086,7.959999999999994,11.947890963516643
