event_id,selection_group,origin_time_utc,event_lat,event_lon,event_depth_km,source_x_km,source_y_km,source_z_km,magnitude,rms_s,phases,network,station,location,channel,station_lat,station_lon,receiver_x_km,receiver_y_km,pick_time_utc,travel_time_s,xml_file,n_picks,gap_deg,error_depth_km,quality_score
SGC2024ekhhas,domain_20_120,2024-03-03T06:09:32.240000Z,6.395166667,-73.66633333,109.12,-73.62332795297365,-67.33004662956002,109.12,2.831429827,0.6,101,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2024-03-03T06:09:47.619307Z,15.379307,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024ekhhas.xml,5,,,160.494289481
SGC2024fkcjjw,domain_20_120,2024-03-17T07:37:47.700000Z,6.547833333,-73.52916667,116.61,-58.46775109867699,-50.33519337044002,116.61,3.638501554,0.6,99,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2024-03-17T07:38:03.403904Z,15.703904,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024fkcjjw.xml,5,,,158.915504662
SGC2023xinscn,domain_20_120,2023-11-27T10:05:19.050000Z,6.5595,-73.5085,117.78,-56.1842858199618,-49.03646000000001,117.78,2.955833228,0.7,101,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2023-11-27T10:05:34.769971Z,15.719971,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023xinscn.xml,5,,,158.867499684
SGC2023xattar,bucaramanga_nest,2023-11-23T04:31:34.969999Z,7.466166667,-73.18833333,139.78,-20.808994379833965,51.89367337044004,139.78,2.672582746,0.6,100,CM,PDSC,10,HNZ,6.99,-73.06,-6.629414256042969,-1.1131999999999762,2023-11-23T04:31:54.035913Z,19.065914,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023xattar.xml,6,,,158.017748238
SGC2026eywwqq,domain_20_120,2026-03-12T05:02:55.100000Z,6.484,-73.72266667,103.81,-79.84761207441478,-57.44112,103.81,2.520873797,0.7,101,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2026-03-12T05:03:09.244056Z,14.144056,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026eywwqq.xml,6,,,157.562621391
SGC2025jflrnd,domain_20_120,2025-05-11T10:41:51.950000Z,7.282333333,-73.83066667,99.0,-91.78055773529212,31.429346629560044,99.0,4.382323539,0.8,99,CM,VMM07,00,HHZ,7.36,-73.85,-93.91670196060453,40.07520000000003,2025-05-11T10:42:05.557644Z,13.607644,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025jflrnd.xml,6,,,157.146970617
SGC2024aqxgtc,domain_20_120,2024-01-10T04:53:20.250000Z,6.59,-73.49216667,116.34,-54.37961230745154,-45.64120000000001,116.34,3.036770047,0.6,99,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2024-01-10T04:53:35.830071Z,15.580071,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024aqxgtc.xml,7,,,157.110310141
SGC2022yfcina,domain_20_120,2022-12-09T17:05:20.280000Z,6.530333333,-73.48783333,119.66,-53.90082054124662,-52.28329337044003,119.66,2.964611249,0.8,101,CM,BAR2,20,EHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2022-12-09T17:05:36.871814Z,16.591814,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022yfcina.xml,4,,,156.893833747
SGC2025ymegea,bucaramanga_nest,2025-12-13T13:34:11.939999Z,6.344166667,-73.56366667,120.2,-62.27966429590248,-73.00736662956004,120.2,2.826550166,0.8,101,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2025-12-13T13:34:28.661213Z,16.721214,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025ymegea.xml,8,,,156.479650498
SGC2026egwytg,bucaramanga_nest,2026-03-02T09:44:52.289999Z,6.804833333,-73.1415,148.68,-15.634368620500025,-21.725953370439957,148.68,2.800032894,0.6,99,CM,BAR2,00,HHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2026-03-02T09:45:11.987125Z,19.697126,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026egwytg.xml,5,,,156.400098682
SGC2024qrnhfe,domain_20_120,2024-08-24T03:58:25.260000Z,6.3135,-73.56616667,119.05,-62.55588988990401,-76.42117999999996,119.05,2.705562666,0.8,101,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2024-08-24T03:58:42.079752Z,16.819752,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024qrnhfe.xml,7,,,156.116687998
SGC2023zkcyib,domain_20_120,2023-12-26T14:42:20.699999Z,6.579,-73.54033333,113.59,-59.70155801528343,-46.865720000000024,113.59,2.679708732,0.7,100,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2023-12-26T14:42:35.701399Z,15.0014,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023zkcyib.xml,5,,,156.039126196
SGC2026exxida,domain_20_120,2026-03-11T16:11:43.299999Z,6.392333333,-73.61733333,109.95,-68.20930631053805,-67.64545337044001,109.95,2.612011546,0.8,101,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2026-03-11T16:11:58.720686Z,15.420687,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026exxida.xml,5,,,155.836034638
SGC2024cqmvow,bucaramanga_nest,2024-02-07T07:31:25.199999Z,6.7965,-73.14783333,146.82,-16.334139757004174,-22.65362,146.82,2.595234933,0.5,98,CM,PDSC,10,HNZ,6.99,-73.06,-6.629414256042969,-1.1131999999999762,2024-02-07T07:31:44.847809Z,19.64781,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024cqmvow.xml,6,,,155.785704799
SGC2024gcqyzr,domain_20_120,2024-03-27T10:18:52.229999Z,6.432833333,-73.625,110.87,-69.05639850044497,-63.13699337044004,110.87,2.462111553,0.6,99,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2024-03-27T10:19:07.287522Z,15.057523,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024gcqyzr.xml,5,,,155.386334659
SGC2026dtybze,domain_20_120,2026-02-23T08:20:31.929999Z,6.3455,-73.57233333,118.66,-63.237245618507394,-72.85893999999996,118.66,3.020048557,0.6,98,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2026-02-23T08:20:48.846901Z,16.916902,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026dtybze.xml,7,,,155.060145671
